0.00	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.05	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.10	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.15	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.20	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.25	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.30	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.35	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.40	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.45	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.50	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.55	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.60	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.65	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.70	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.75	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.80	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.85	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.90	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
0.95	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.00	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.05	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.10	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.15	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.20	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.25	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.30	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.35	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.40	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.45	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.50	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.55	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.60	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.65	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.70	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.75	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.80	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.85	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.90	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
1.95	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.00	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.05	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.10	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.15	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.20	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.25	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.30	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.35	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.40	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.45	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.50	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.55	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.60	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.65	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.70	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.75	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.80	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.85	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.90	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
2.95	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
3.00	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
3.05	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
3.10	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
3.15	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
3.20	24478	24478	100.00%	1.70	5.50	4.05	5.55	0.50	3.50	4.20
